Length,Elevation gain,Rocky,Stairs,Muddy,Roots,Avg_grade,Difficulty,Max_grade
5.9,636,0,0,0,0,0.0204160246533127,1.614864864864865,0.24495824126432997
3.3,446,0,0,0,0,0.0255968778696051,1.6710526315789471,0.33228729189980144
6.9,711,1,0,0,0,0.0195158102766798,2.305194805194805,0.21781104776583776
5.3,518,1,0,0,1,0.0185105774728416,1.8384615384615384,0.2758295375626481
2.3,298,1,0,0,0,0.0245388669301712,1.71,0.44173267569833136
2.8,229,1,0,0,1,0.0154897186147186,1.7517241379310344,0.20981895784925209
4.9,472,1,0,0,0,0.0182436611008039,2.0823529411764707,0.24273012437261493
1.3,426,0,0,0,0,0.062062937062937,1.901098901098901,0.5106660578508961
6.6,600,0,0,1,0,0.0172176308539944,2.0521739130434784,0.3371028124522697
2.5,262,1,0,1,1,0.0198484848484848,1.6727272727272726,0.2926300336925796
6.0,360,0,0,1,0,0.0113636363636363,1.651851851851852,0.22187284158038129
2.2,561,0,0,0,1,0.0482954545454545,1.949685534591195,0.3490915002255135
3.6,479,1,0,0,0,0.0251999158249158,1.8766233766233769,0.29752279928005687
0.9,219,0,0,0,0,0.0460858585858585,1.4175824175824177,0.2996264819185419
4.2,262,0,0,1,0,0.0118145743145743,1.515384615384615,0.16544152287819613
0.3,242,0,1,0,0,0.1527777777777778,2.6486486486486487,0.5615898483889284
3.3,515,0,0,1,0,0.0295569329660238,1.887323943661972,0.3915415943045344
1.8,272,0,0,1,0,0.0286195286195286,1.578125,0.2755158152549101
2.0,111,1,0,0,1,0.0105113636363636,1.554054054054054,0.19413493722659367
9.9,2240,1,0,0,0,0.0428527701254973,2.441558441558441,0.4044678815543268
3.9,318,1,0,1,0,0.0154428904428904,1.5172413793103448,0.1746641339757486
2.0,190,1,0,0,1,0.0179924242424242,1.231578947368421,0.3054351854075307
4.3,951,1,0,0,0,0.0418868921775898,2.069767441860465,0.5089170716382698
3.4,314,1,0,0,1,0.0174910873440285,1.864077669902913,0.37119732083511453
16.0,4137,1,1,0,0,0.0489701704545454,2.926829268292683,1.0320371330770506
2.3,587,0,1,0,0,0.0483366271409749,2.3013698630136985,0.9262660859333423
3.9,462,1,0,1,0,0.0224358974358974,1.9069767441860463,0.23139404662244822
3.1,236,1,0,1,0,0.0144183773216031,1.6694915254237288,0.24866281980152738
3.1,1036,0,0,1,0,0.0632942326490713,2.0210526315789474,0.543091772886295
2.7,255,0,0,1,0,0.0178872053872053,1.6285714285714286,0.23884504739724804
1.9,242,1,0,0,0,0.0241228070175438,1.2828282828282829,0.22805146284301459
6.1,593,1,0,0,1,0.0184115747640337,1.7162162162162162,0.32227665684956436
4.8,1062,1,0,0,0,0.041903409090909,1.962962962962963,0.3206457471800608
2.4,203,1,1,0,0,0.0160195707070707,1.967032967032967,0.28553955287312055
5.9,1712,1,0,0,0,0.0549563430919363,2.2666666666666666,0.5057696639336511
4.5,728,0,0,0,1,0.0306397306397306,2.037037037037037,0.3099348148093002
2.4,813,0,1,0,0,0.0641571969696969,2.1020408163265305,0.620896147406409
2.2,288,0,0,0,1,0.024793388429752,1.2805755395683454,0.2191665913372174
0.9,193,0,0,0,0,0.0406144781144781,1.6666666666666667,0.2258562897934187
1.9,331,1,0,1,1,0.0329944178628389,1.1764705882352942,0.32512398290656375
6.0,370,1,0,0,0,0.0116792929292929,1.7037037037037035,0.45476699259545517
4.6,1279,1,0,0,1,0.0526597496706192,2.1052631578947367,0.4043424923781165
5.6,1023,1,0,0,1,0.0345982142857142,1.9246575342465757,0.39323635367694854
4.0,590,1,0,0,0,0.027935606060606,1.9861111111111112,0.5298078273904038
1.5,423,1,1,0,1,0.0534090909090909,1.7375,0.416478522577915
4.6,1361,1,0,0,0,0.0560359025032938,2.525,0.37931063416111366
3.3,32,0,0,0,0,0.0018365472910927,1.2428571428571429,0.15414743558207417
3.3,413,1,0,0,1,0.0237029384756657,1.7777777777777777,0.37605634891897266
3.4,682,1,0,0,0,0.0379901960784313,1.9074074074074077,0.4990596422251089
4.9,708,1,0,0,0,0.0273654916512059,1.9272727272727272,0.5794018249209718
11.3,1735,1,0,0,0,0.0290795119334942,2.086206896551724,0.5188313160273408
7.9,1581,1,0,0,0,0.0379027617951668,2.6065573770491803,0.5143224052091719
2.4,187,0,0,0,0,0.0147569444444444,1.5857142857142856,0.2135666763601618
2.2,410,1,0,0,1,0.0352961432506887,1.9206349206349207,0.29200287443063677
5.9,2221,0,0,0,0,0.0712955829481253,2.6666666666666665,0.5977358021137309
2.0,131,0,0,0,1,0.012405303030303,1.091954022988506,0.2491086017213557
2.9,751,1,0,0,0,0.0490464994775339,2.033333333333333,0.27923323039758063
1.1,150,1,0,0,1,0.0258264462809917,1.8695652173913044,0.3288397405765551
3.3,449,0,0,0,0,0.025769054178145,1.96,0.4703849803345145
2.3,213,0,0,1,0,0.0175395256916996,1.53125,0.20354231700604178
0.5,85,0,0,0,0,0.0321969696969696,1.7,0.5119263594911383
3.5,492,0,0,1,0,0.0266233766233766,1.775,0.2829928056358897
5.2,423,0,0,0,0,0.0154064685314685,1.5507246376811594,0.21425496284401696
8.1,1755,1,0,0,0,0.0410353535353535,2.0476190476190474,0.3186800159978729
3.3,265,1,0,0,0,0.0152089072543618,1.5471698113207548,0.23410042079084764
2.7,593,1,1,0,1,0.0415965207631874,1.9807692307692308,0.3577910886006941
4.0,810,1,1,0,0,0.0383522727272727,2.0943396226415096,1.3721864418146512
2.7,603,0,0,0,0,0.0422979797979797,1.9875,0.2650337647985339
1.9,393,1,0,1,0,0.0391746411483253,1.7096774193548387,0.3140372245630219
5.5,646,0,0,0,0,0.0222451790633608,1.605263157894737,0.2647120509638753
1.0,88,0,0,0,0,0.0166666666666666,1.6444444444444444,0.19714147167006346
2.4,600,1,0,0,1,0.0473484848484848,2.0416666666666665,0.2803837168385046
